이름,영화코드,누적관객수
스파이더맨: 파 프롬 홈,20196309,6685143
알라딘,20183867,10161238
토이 스토리 4,20184047,3151062
기방도령,20185353,220182
기생충,20183782,9919835
진범,20185986,106756
극장판 엉덩이 탐정: 화려한 사건 수첩,20191601,101245
애나벨 집으로,20199951,459037
존 윅 3: 파라벨룸,20196655,913066
미드소마,20192151,45707
롱 리브 더 킹: 목포 영웅,20198453,1076588
천로역정: 천국을 찾아서,20190273,228365
비스트,20182585,199009
BIFAN2019 판타스틱 단편 걸작선 1,20192591,25000
마담 싸이코,20192022,37437
맨 인 블랙: 인터내셔널,20196657,843649
사탄의 인형,20190885,46546
엑스맨: 다크 피닉스,20182387,860921
세상을 바꾼 변호인,20190466,31379
이웃집 토토로,19880001,142372
업사이드,20191401,30244
로켓맨,20198291,98703
어벤져스: 엔드게임,20184889,13887813
